issue_id,title,start,end,total_reactions,total_comments,new_reactions,new_comments,issue_url
flutter/flutter#128313,"Add support for visionOS",2024-01-24,2024-02-20,262,15,50,2,https://github.com/flutter/flutter/issues/128313
flutter/flutter#53041,"Enable ""hot reload"" (not just ""hot restart"") for Flutter Web",2024-01-24,2024-02-20,976,149,27,3,https://github.com/flutter/flutter/issues/53041
flutter/flutter#46789,"Improve the indexability (SEO) of Flutter apps on the web ",2024-01-24,2024-02-20,720,189,25,1,https://github.com/flutter/flutter/issues/46789
flutter/flutter#138614,"Preserve WillPopScope as an alternate for PopScope",2024-01-24,2024-02-20,104,27,23,7,https://github.com/flutter/flutter/issues/138614
flutter/flutter#83596,"Android crash: Fatal Exception: java.lang.RuntimeException java.util.concurrent.ExecutionException: java.lang.UnsatisfiedLinkError: dalvik.system.PathClassLoader[DexPathList[[zip file ""/system/framework/android.test.runner.jar"", zip file ""/system/framework/org.apache.http.legacy.boot.jar""........",2024-01-24,2024-02-20,352,238,23,3,https://github.com/flutter/flutter/issues/83596
flutter/flutter#69540,"[Request] Add option to disable fontPadding (or trim font height)",2024-01-24,2024-02-20,43,9,21,2,https://github.com/flutter/flutter/issues/69540
flutter/flutter#115912,"Support tone-based surface and surface container `ColorScheme` roles",2024-01-24,2024-02-20,98,12,14,2,https://github.com/flutter/flutter/issues/115912
flutter/flutter#114620,"Web autofill throw exception when using html InputElement",2024-02-01,2024-02-15,27,21,14,7,https://github.com/flutter/flutter/issues/114620
flutter/flutter#126005,"☂️ Add Swift Package Manager compatibility",2024-01-24,2024-02-20,85,6,13,0,https://github.com/flutter/flutter/issues/126005
flutter/flutter#112915,"[go_router] Redirection with Riverpod example",2024-01-24,2024-02-20,48,18,13,1,https://github.com/flutter/flutter/issues/112915
flutter/flutter#30701,"Support multiple windows for desktop shells",2024-01-24,2024-02-20,554,106,13,2,https://github.com/flutter/flutter/issues/30701
flutter/flutter#139289,"Allow to provide compile-time variables for native platforms from a file",2024-01-24,2024-02-20,45,6,12,2,https://github.com/flutter/flutter/issues/139289
flutter/flutter#31713,"Implement PlatformView support on Windows",2024-01-24,2024-02-20,355,31,11,0,https://github.com/flutter/flutter/issues/31713
flutter/flutter#138737,"PopScope seems to be incompatible with GoRouter",2024-01-24,2024-02-20,39,8,11,2,https://github.com/flutter/flutter/issues/138737
flutter/flutter#41722,"Implement PlatformView support on macOS",2024-01-24,2024-02-20,593,55,10,0,https://github.com/flutter/flutter/issues/41722
flutter/flutter#33850,"Investigate Swift Package Manager for Swift plugins",2024-01-24,2024-02-20,194,44,10,0,https://github.com/flutter/flutter/issues/33850
flutter/flutter#128059,"[Web] CanvasKit error on web app after hot restart/hot reload",2024-01-24,2024-02-20,65,26,10,0,https://github.com/flutter/flutter/issues/128059
flutter/flutter#139338,"Add neutral Material themes",2024-01-24,2024-02-20,185,9,10,1,https://github.com/flutter/flutter/issues/139338
flutter/flutter#62597,"[Windows] ☂️  Add support for Arm64 as a target",2024-01-24,2024-02-20,30,22,9,0,https://github.com/flutter/flutter/issues/62597
flutter/flutter#60240,"Make it easier to upload Android native debug symbols for release builds",2024-01-24,2024-02-20,223,55,8,1,https://github.com/flutter/flutter/issues/60240
flutter/flutter#132735,"[Impeller] Blur performance issue.",2024-01-24,2024-02-20,78,31,8,2,https://github.com/flutter/flutter/issues/132735
flutter/flutter#41737,"Distribute Flutter as a Flatpak",2024-01-24,2024-02-20,237,45,7,1,https://github.com/flutter/flutter/issues/41737
