id,title,start,end,total_reactions,total_comments,new_reactions,new_comments
[`flutter/flutter#128313`](https://github.com/flutter/flutter/issues/128313),"Add support for visionOS",2024-01-24,2024-02-06,238,15,26,2
[`flutter/flutter#83596`](https://github.com/flutter/flutter/issues/83596),"Android crash: Fatal Exception: java.lang.RuntimeException java.util.concurrent.ExecutionException: java.lang.UnsatisfiedLinkError: dalvik.system.PathClassLoader[DexPathList[[zip file ""/system/framework/android.test.runner.jar"", zip file ""/system/framework/org.apache.http.legacy.boot.jar""........",2024-01-24,2024-02-06,350,237,21,2
[`flutter/flutter#115912`](https://github.com/flutter/flutter/issues/115912),"Support tone-based surface and surface container `ColorScheme` roles",2024-01-24,2024-02-06,97,10,13,0
[`flutter/flutter#138614`](https://github.com/flutter/flutter/issues/138614),"Preserve WillPopScope as an alternate for PopScope",2024-01-24,2024-02-06,93,22,12,2
[`flutter/flutter#30701`](https://github.com/flutter/flutter/issues/30701),"Support multiple windows for desktop shells",2024-01-24,2024-02-06,551,105,10,1
[`flutter/flutter#126005`](https://github.com/flutter/flutter/issues/126005),"☂️ Add Swift Package Manager compatibility",2024-01-24,2024-02-06,80,6,8,0
[`flutter/flutter#53041`](https://github.com/flutter/flutter/issues/53041),"Enable ""hot reload"" (not just ""hot restart"") for Flutter Web",2024-01-24,2024-02-06,956,146,7,0
[`flutter/flutter#18345`](https://github.com/flutter/flutter/issues/18345),"SliverAppBar flexibleSpace with height depending on children",2024-01-24,2024-02-06,224,56,7,2
[`flutter/flutter#128059`](https://github.com/flutter/flutter/issues/128059),"[Web] CanvasKit error on web app after hot restart/hot reload",2024-01-24,2024-02-06,62,26,7,0
[`flutter/flutter#41737`](https://github.com/flutter/flutter/issues/41737),"Distribute Flutter as a Flatpak",2024-01-24,2024-02-06,236,45,6,1
[`flutter/flutter#112196`](https://github.com/flutter/flutter/issues/112196),"[go_router] ShellRoutes seem to cause NavigatorObserver to not fire (5.0.1)",2024-01-24,2024-02-06,84,45,6,1
[`flutter/flutter#26134`](https://github.com/flutter/flutter/issues/26134),"Support home and lock screen widgets",2024-01-24,2024-02-06,310,50,5,0
[`flutter/flutter#94340`](https://github.com/flutter/flutter/issues/94340),"[Feature Request] Support for Jetbrains Fleet
",2024-01-24,2024-02-06,427,19,5,0
[`flutter/flutter#33577`](https://github.com/flutter/flutter/issues/33577),"[web] Support compute on separate thread in Flutter Web",2024-01-24,2024-02-06,301,99,5,4
[`flutter/flutter#65504`](https://github.com/flutter/flutter/issues/65504),"Ctrl+F support, finding text on a page (even when scrolled off screen)",2024-01-24,2024-02-06,103,13,5,0
[`flutter/flutter#129638`](https://github.com/flutter/flutter/issues/129638),"Support visionOS devices for iOS apps in `flutter devices`, `flutter run`, etc.",2024-01-24,2024-02-06,54,3,4,1
[`flutter/flutter#14330`](https://github.com/flutter/flutter/issues/14330),"Code Push / Hot Update / out of band updates",2024-01-24,2024-02-06,1948,277,4,0
[`flutter/flutter#41722`](https://github.com/flutter/flutter/issues/41722),"Implement PlatformView support on macOS",2024-01-24,2024-02-06,587,55,4,0
[`flutter/flutter#25841`](https://github.com/flutter/flutter/issues/25841),"Add a way to detect keyboard language",2024-01-24,2024-02-06,138,34,4,0
[`flutter/flutter#31713`](https://github.com/flutter/flutter/issues/31713),"Implement PlatformView support on Windows",2024-01-24,2024-02-06,348,31,4,0
[`flutter/flutter#31191`](https://github.com/flutter/flutter/issues/31191),"PageView should preload pages",2024-01-24,2024-02-06,138,44,4,0
[`flutter/flutter#132735`](https://github.com/flutter/flutter/issues/132735),"[Impeller] Blur performance issue.",2024-01-24,2024-02-06,74,29,4,0
[`flutter/flutter#47600`](https://github.com/flutter/flutter/issues/47600),"Server-side rendering for Flutter web",2024-01-24,2024-02-06,592,57,4,0
[`flutter/flutter#129640`](https://github.com/flutter/flutter/issues/129640),"Support eye tracking when running on visionOS",2024-01-24,2024-02-06,40,0,4,0
[`flutter/flutter#41980`](https://github.com/flutter/flutter/issues/41980),"[Desktop] - Splash screen or background color customization",2024-01-24,2024-02-06,149,11,3,0
[`flutter/flutter#37777`](https://github.com/flutter/flutter/issues/37777),"Support 32-bit Windows as a target",2024-01-24,2024-02-06,122,39,3,0
[`flutter/flutter#64491`](https://github.com/flutter/flutter/issues/64491),"Colorized console output does not work in iOS builds but works for Android builds",2024-01-24,2024-02-06,47,42,3,3
[`flutter/flutter#46979`](https://github.com/flutter/flutter/issues/46979),"Support different dependencies when using flavors",2024-01-24,2024-02-06,120,20,3,0
[`flutter/flutter#53120`](https://github.com/flutter/flutter/issues/53120),"Add Support for running Flutter on Windows ARM64",2024-01-24,2024-01-31,55,48,3,0
[`flutter/flutter#87789`](https://github.com/flutter/flutter/issues/87789),"Request for `Wrap.builder` method ",2024-01-24,2024-02-06,52,10,3,0
[`flutter/flutter#73786`](https://github.com/flutter/flutter/issues/73786),"[proposal] Allow Horizontal ListView with Vertical ListView Children Without Fixed Height",2024-01-24,2024-02-06,43,8,3,1
[`flutter/flutter#125980`](https://github.com/flutter/flutter/issues/125980),"Adding a Carousel Widget",2024-01-24,2024-02-06,32,9,3,0
[`flutter/flutter#18443`](https://github.com/flutter/flutter/issues/18443),"Support soft hyphenation (line breaks at U+00AD plus rendering a hyphen at the end of the line)",2024-01-24,2024-02-06,273,39,3,0
[`flutter/flutter#58997`](https://github.com/flutter/flutter/issues/58997),"InteractiveViewer `constrained: false` custom default scale",2024-01-24,2024-02-06,34,25,3,0
[`flutter/flutter#56665`](https://github.com/flutter/flutter/issues/56665),"[video_player] Better exception message on iOS devices if the video fails to play",2024-01-24,2024-02-06,147,61,3,1
[`flutter/flutter#55809`](https://github.com/flutter/flutter/issues/55809),"Support iPadOS pointer interactions",2024-01-24,2024-02-06,53,11,3,0
[`flutter/flutter#41725`](https://github.com/flutter/flutter/issues/41725),"[webview_flutter] Add macOS support",2024-01-24,2024-02-06,355,50,3,0
[`flutter/flutter#112281`](https://github.com/flutter/flutter/issues/112281),"iOS  15+ save password prompt dismiss is pushing UI up and down",2024-01-24,2024-02-04,17,29,3,3
[`flutter/flutter#60240`](https://github.com/flutter/flutter/issues/60240),"Make it easier to upload Android native debug symbols for release builds",2024-01-24,2024-02-06,217,55,2,1
